No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 2,12	 2,09	-0,02	 7198	 2751	  248	  252
    2	 2,17	 2,14	-0,03	 6464	 2385	  160	  262
    3	 2,09	 2,07	-0,02	 6021	 2059	  125	  259
    4	 1,76	 1,72	-0,04	 4976	 1502	   63	  258
    5	 1,71	 1,69	-0,01	 4365	 1147	   38	  264
    6	  1,1	 1,09	-0,02	 3449	  715	    3	  261
    7	 0,96	 0,94	-0,02	 3410	  674	   -1	  252
    8	 0,96	 0,95	-0,01	 3684	  765	   11	  236
    9	  0,8	 0,79	-0,01	 3156	  499	   -7	  245
   10	 1,18	 1,15	-0,03	 3273	  551	   -7	  250
   11	 0,82	  0,8	-0,02	 3079	  476	  -15	  251
   12	 1,07	 1,06	-0,01	 3350	  606	    0	  247
   13	 1,16	 1,14	-0,02	 3382	  554	   -1	  249
   14	 1,19	 1,16	-0,02	 3257	  548	   -8	  252
