No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	  1,7	 1,67	-0,03	 3346	 1945	567,25	  356
    2	 1,73	 1,71	-0,02	 3309	 1893	541,24	  355
    3	 1,67	 1,65	-0,03	 3365	 1890	491,82	  348
    4	 1,72	 1,69	-0,03	 3311	 1928	450,2	  370
    5	 1,65	 1,62	-0,03	 3289	 1867	422,89	  368
    6	 1,68	 1,64	-0,03	 3288	 1897	  445	  368
    7	 1,68	 1,66	-0,02	 3169	 1802	340,95	  362
    8	 1,64	 1,61	-0,03	 3247	 1841	318,84	  363
    9	 1,72	 1,69	-0,04	 3221	 1826	356,56	  361
   10	 1,63	  1,6	-0,03	 3047	 1697	147,7	  371
   11	 1,53	 1,51	-0,03	 3072	 1720	155,35	  368
   12	 1,67	 1,64	-0,03	 3040	 1690	165,83	  367
   13	 1,65	 1,61	-0,04	 3053	 1721	189,31	  365
   14	 1,66	 1,63	-0,03	 3131	 1757	171,48	  352
   15	 1,62	 1,58	-0,03	 3027	 1684	160,99	  365
   16	  1,6	 1,56	-0,03	 3043	 1721	185,02	  365
   17	 1,43	 1,39	-0,03	 2897	 1622	102,02	  372
   18	 1,39	 1,36	-0,03	 2902	 1610	103,68	  368
   19	    1	 0,97	-0,03	 2477	 1266	 32,4	  356
   20	  1,1	 1,07	-0,03	 2480	 1206	26,23	  361
   21	 1,02	 0,99	-0,03	 2483	 1310	23,98	  362
