No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 0,89	 0,85	-0,03	 2406	 1187	17,54	  341
    2	  0,9	 0,86	-0,04	 2404	 1234	19,84	  341
    3	  0,9	 0,86	-0,04	 2387	 1207	17,12	  341
    4	 0,82	 0,79	-0,03	 2296	 1039	10,99	  341
    5	 0,86	 0,83	-0,03	 2309	 1120	11,75	  343
    6	 0,86	 0,83	-0,03	 2322	 1064	10,48	  341
    7	 0,83	 0,79	-0,04	 2147	  878	-1,46	  342
    8	 0,78	 0,74	-0,03	 2125	  862	-3,05	  342
    9	 0,78	 0,75	-0,03	 2137	  855	-2,85	  342
   10	 0,74	 0,71	-0,03	 1973	  676	-14,26	  341
   11	 0,72	 0,69	-0,03	 1967	  669	-15,92	  341
   12	 0,73	 0,69	-0,03	 1988	  660	-15,39	  341
   13	 0,69	 0,66	-0,02	 1774	  525	-24,89	  338
   14	 0,65	 0,63	-0,03	 1776	  540	-25,15	  339
   15	 0,66	 0,63	-0,03	 1795	  499	-26,64	  337
   16	 0,61	 0,58	-0,03	 1520	  331	-40,81	  331
   17	 0,55	 0,52	-0,03	 1520	  303	-44,18	  331
   18	 0,56	 0,53	-0,03	 1538	  324	-42,37	  331
   19	 0,58	 0,56	-0,03	 1371	  247	-53,73	  333
   20	 0,54	 0,51	-0,02	 1330	  222	-56,1	  333
   21	  0,5	 0,47	-0,03	 1323	  230	-55,01	  333
   22	 0,47	 0,45	-0,03	 1220	  153	-63,78	  326
   23	 0,51	 0,48	-0,03	 1188	  137	-65,64	  326
   24	  0,5	 0,48	-0,02	 1204	  158	-64,62	  326
   25	 0,45	 0,42	-0,03	 1047	   96	-77,09	  330
   26	 0,42	 0,39	-0,02	 1011	   88	-80,09	  329
   27	 0,41	 0,38	-0,03	 1009	   92	-78,74	  329
   28	 0,26	 0,25	-0,02	  864	    0	-107,24	  249
   29	  0,2	  0,2	-0,01	  708	    0	-117,68	  225
   30	 0,17	 0,17	-0,01	  664	    0	-127,46	  207
   31	 0,28	 0,25	-0,03	  605	    7	-145,75	  337
   32	 0,28	 0,25	-0,03	  677	    2	-135,43	  311
   33	 0,18	 0,18	    0	  671	    0	-127,03	  219
   34	  0,1	 0,11	 0,01	  521	    0	-215,61	  194
   35	 0,24	 0,21	-0,03	  473	    1	-277,2	  334
   36	 0,24	 0,21	-0,03	  446	    1	-292,95	  347
   37	 0,28	 0,25	-0,03	  499	    2	-217,04	  332
   38	 0,27	 0,23	-0,03	  493	    1	-238,52	  336
   39	 0,29	 0,26	-0,03	  498	    0	-235,66	  333
