No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	    0	    0	   -0	    1	    0	  NaN	  117
    2	    0	    0	   -0	    0	    0	  NaN	  120
    3	    0	    0	   -0	    1	    0	  NaN	  120
    4	    0	    0	   -0	    2	    0	  NaN	  117
    5	    0	    0	   -0	    1	    0	  NaN	  118
    6	    0	    0	   -0	    3	    0	  NaN	  118
    7	 0,01	    0	   -0	    2	    0	  NaN	  120
    8	 0,01	    0	   -0	    5	    0	  NaN	  118
    9	 0,01	 0,01	   -0	    4	    0	  NaN	  119
   10	 0,01	 0,01	   -0	    3	    0	  NaN	  118
   11	 0,02	 0,01	   -0	    2	    0	  NaN	  119
   12	 0,01	 0,01	-0,01	    6	    0	  NaN	  118
   13	 0,03	 0,03	   -0	   21	    0	  NaN	  116
   14	 0,02	 0,01	-0,01	   10	    0	  NaN	  118
   15	 0,04	 0,02	-0,02	   24	    0	  NaN	  118
   16	 0,61	 0,03	-0,58	 -112	    0	  NaN	  118
   17	 0,04	 0,02	-0,02	   30	    0	  NaN	  116
   18	 0,11	 0,04	-0,07	    7	    2	  NaN	  118
   19	 0,07	 0,03	-0,03	   10	   24	  NaN	  118
   20	 0,13	 0,09	-0,04	   45	  177	  NaN	  119
   21	 0,12	 0,05	-0,07	   71	  630	  NaN	  118
   22	 0,11	 0,06	-0,05	   99	 1517	  NaN	  118
   23	 0,24	 0,17	-0,08	  129	 3084	  NaN	  117
   24	 0,24	 0,15	-0,09	  106	 4983	  NaN	  118
   25	 0,67	 0,51	-0,17	  213	 6996	  NaN	  119
   26	 0,62	  0,2	-0,42	  147	 9210	  NaN	  118
   27	  0,7	 0,23	-0,47	 -184	11511	  NaN	  118
   28	 0,95	 0,53	-0,42	   96	13093	  NaN	  119
   29	 0,79	 0,22	-0,57	 -510	13963	  NaN	  124
   30	 1,01	 0,54	-0,47	  313	14325	  NaN	  117
   31	 1,23	 0,63	-0,61	   54	14722	  NaN	  119
